,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
19,History,1085,University of Chicago,Ralph,,Austen,125455,21,poor,TEACHER,PROFESSOR,1.9,"['I overheard a conversation in French between him and a former student. He was extremely friendly to her. I greeted them both in French and he seemed upset that I understood their conversation. A Northwestern prof said his weakness allowed them to take the lead in African studies. I liked his intro to one book. Otherwise, my worst.', 'I had the pleasure of meeting Professor Austen at an introductory mixer before beginning at UChicago. He has high standards and little time for congratulatory nonsense. His grading is indicative of these values. He is intelligent and has a dry wit. Be prepared to act like an adult, and have your assertions challenged. Always do the reading.', 'Worst professor I have ever had.', ""Literally the worst teacher ever. Good job converting someone who used to love religious study to someone who will avoid it in the future. I'm done with this I'm going to go be a physics major"", ""Smart, but pretty terrible at teaching. Worst prompts I've ever seen, and I've seen a lot of terrible prompts."", 'He should value students as student standard not professor standard', ""Awful professor, he only assigned one paper topic and left most students confused about what he wanted. He refused to answer most questions asked after paper was assigned. To put it simply, he's an old hack and you should switch to a different section at all costs."", 'Odd fellow.  Specializes in Africa, but seems to hate Africa.  I respect his opposition to anti-semites; he managed to work that into every lecture.', ""Don't take his class in the morning. You will fall asleep for sure. even with five espresso shots."", ""Never waste your time on this professor's class."", 'An exceptionally horrible Professor. He offers very little feeback and is very, very disorganized when assigning material. Not only would I not recommend his course, I would strongly recommend his resignation from the History Department.', ""I'm amazed at the consistency of perceptions.  He's the worst.  I re-took the same class with a different professor. I enjoyed it and got an A."", ""I took 7 classes with this man some years ago.  He's easy to hate, but you can actually learn quite a bit from him if you can handle the criticism he drops.  Like the Knicks defense of the mid-1990s, he doesn't hold back.  Actually writes good rec letters if you do your work well.  I can see why so many despise him, but his persona has a warm side."", 'Very little feedback, uninterested in meeting with students.  Try not to take a class with him.', ""He's a pretty harsh grader, but I thought it was pretty easy to get a good grade from him b/c all he expected on the paper was a regurgitation of the material covered in class.  He was arrogant, but not more than any other professor here.  Knew his stuff."", ""Wow- this dude is so bad.  definitely don't take his class.  You'll hate yourself for it.  he grades very harshly and offers minimal comments."", ""Yes, he's a crotchety old man, but he really knows his stuff, and if he knows you really want to learn, he'll always go the extra mile for you. I had a great experience in his class."", 'These comments are completely unfair.  Ralph Austen is a great professor, extremely helpful.', 'Worst professor I ever had at the U of C.  He was just unbelievably pompous, incompetent, uneffective, cold, annoying!!!!', 'Terrible. I want my money back.']","['Tough grader', 'Get ready to read', 'Hilarious', 'Respected', 'Test heavy', 'Graded by few things', 'Test heavy', 'Respected', 'Get ready to read', 'Hilarious']"
20,Languages,1085,University of Chicago,Kelly,,Austin,874176,5,poor,TEACHER,PROFESSOR,2.2,"['uh. stick to teaching spanish. the humanities are not for you', 'Horrible', 'No Comments', 'No Comments', 'Kelly is very nice and very very intelligent.']",[]
21,Mathematics,1085,University of Chicago,Laszlo,,Babai,929320,4,good,TEACHER,PROFESSOR,4.6,"['Professor Babai is one of the best professors at the University of Chicago. He is both a brilliant mathematician in his own right as well as an incredible teacher, lecturer, mentor (a combination that can be very hard to come by). He leads you to solutions so that you truly understand, he is encouraging, and he gives problems that lead to insight. ', ""He's not ridiculously difficult and he doesn't assign a ridiculous amount of work (compared to some of the other math classes), but he does expect you to put in consistent (and relatively high) amount of solid work. His clarity, enthusiasm and demanding nature makes him the best professor I've had in this school."", ""I had Babai for Algorithms and Combinatorics around 2000-1.  Damn straight he was hard. The commenter before me is mistaken. He doesn't expect you to know everything already; he just expects you to work your ass off. One of the best professors I ever had."", 'Spends more time showing people how little they know than in teaching. Expects students to come into the course knowing all the material.']","['Amazing lectures', 'Inspirational', 'Respected']"
22,Economics,1085,University of Chicago,Katherine,,Baicker,2403172,0,zero,TEACHER,PROFESSOR,N/A,[],[]
23,Mathematics,1085,University of Chicago,Ishan,,Banerjee,2651783,0,zero,TEACHER,PROFESSOR,N/A,[],[]
24,English,1085,University of Chicago,Jason,,Bartulis,1726679,5,average,TEACHER,PROFESSOR,2.8,"['I loved it.', ""Jason is hard but fair. He's also pretty funny--and not at all bad to look at."", 'worst', 'worst teacher ever', ""This guy is great. He seems to know as much about American literature as he does about political theory, theology, and philosophy. My only complaint is that that made discussion confusing sometimes. But the discussions were always very lively.  Also, he's very funny, and very irreverent. I've never encountered an English professor like him.""]",[]
25,Economics,1085,University of Chicago,Karna,,Basu,1166127,4,good,TEACHER,PROFESSOR,4.6,"['Karna is brilliant.', 'No Comments', 'Professor Basu makes econ really fun and interesting.', 'Despite being from India, had excellent English. Lectures were clear and fairly useful. However, the tests were on the difficult side. Problem sets were also not easy. I recommend him over Lima and Neal.']",[]
26,Physics,1085,University of Chicago,Jacob,,Bean,2625191,0,zero,TEACHER,PROFESSOR,N/A,[],[]
27,Mathematics,1085,University of Chicago,Alexander,,Beilinson,2220467,0,zero,TEACHER,PROFESSOR,N/A,[],[]
28,Computer Science,1085,University of Chicago,John,,Bell,1801567,1,average,TEACHER,PROFESSOR,3.0,"[""Most people stopped showing up after the first week. iClickers nearly every lecture. As long as you pass most of the projects you should be fine. Tests are not too difficult, some questions can get confusing. Bell can sometimes go off on tangents or focus too much on unimportant stuff. I've heard he only focuses on one student at a time in his hrs.""]","['Clear grading criteria', 'Clear grading criteria']"
29,Law,1085,University of Chicago,Omri,,Ben-Shahar,1300324,1,good,TEACHER,PROFESSOR,4.5,"['Contracts with Ben-Shahar was my favorite class ever.  Who would have guessed contracts would be awesome?  His economics background makes it great.  The class moves at a fast pace, and the workload is intense.  Even among U. of C. professors, Ben-Shahar stands out for being really, really smart.  He is also funny and outside of class he is helpful.']",[]
30,Humanities,1085,University of Chicago,Ursula,,Bergstrom,1548629,1,good,TEACHER,PROFESSOR,5.0,"['Great professor. Very enthusiastic about the subject and makes it very interesting. Very friendly, helpful and available outside of class. Gives great feedback on papers. Gives reasonable assignments. Just all around amazing.']",[]
31,Psychology,1085,University of Chicago,Bennett,,Bertenthal,260809,6,poor,TEACHER,PROFESSOR,2.2,"[""He forces you to talk for participation and then belittles you when you try. He is the rudest professor I've ever had and doesn't care about the general well-being of his students. There was so much writing, and he didn't clarify things when anyone asked. Everyone dreaded going to class because of the way he treated us."", 'responsive to questions outside of class.', ""maybe a bit of a tough grader, but all in all, I think he's pretty fair. though, I sort of think he might be a robot."", ""My first paper from him got a C-, but I didn't understand why. After going to his office hours for clarification, and doing exactly what he suggested, I got a C on the second paper. Went to his office again, he gave no explanation, and I got a C on the third paper, for no reason I could understand."", 'Okay he is not that bad seriously.  Despite some of his flaws (older man and a little old school) he is not that bad.', 'If you displease him with one piece of work (even a weekly discussion question), he will take it upon himself to end your success in his class.  After taking his class, you will want to make sure nobody else like you takes his class.  He will scar you.']","['Get ready to read', ""Skip class? You won't pass."", 'So many papers', 'Get ready to read', ""Skip class? You won't pass."", 'SO MANY PAPERS']"
32,Humanities,1085,University of Chicago,Robert,,Bird,233386,7,good,TEACHER,PROFESSOR,4.4,"['Professor Bird is definitely a tough grader, but he gives fantastic feedback. TONS of reading. A lot of writing. Very accessible and helpful if you come to him outside of class. I took REES 20013 - a class on dostoevsky - and REES 26012 - Russian Civ 2. Excellent, passionate lectures. Better versed in his Dostoevsky, though.', ""I wanted to do this bc there have been none since the 2000's. I have Bird for two classes this quarter, and he asks a lot from his students: essays+midterm+final test for both classes (history & lit) He definitely knows a lot and cares about what he's teaching, but sometimes the environment is a bit hostile. Hard grader/ mandatory attendance/READ!"", 'Great teacher', 'Truly outstanding.  Seriously, nice guy, very genuine, and almost hot.', 'still finding his wings.  Wants to cover evything under the sun.  Needs to focus on fewer texts/theorists (quality over quantity).  Genuine and fair.  Rewards interesting interpretations and encourages diversity (refreshing!)', 'Awesome Professor', 'Great teacher. Very helpful in my first year. A very easy guy to talk to.']","['Tough grader', 'Get ready to read', 'Participation matters', 'Amazing lectures', 'Gives good feedback', 'Gives good feedback', 'ACCESSIBLE OUTSIDE CLASS', 'Amazing lectures', 'Tough Grader', 'Get ready to read', 'Participation matters']"
33,Computer Science,1085,University of Chicago,Timothy,,Black,2593633,0,zero,TEACHER,PROFESSOR,N/A,[],[]
34,Mathematics,1085,University of Chicago,Beata,,Blaho,2537681,0,zero,TEACHER,PROFESSOR,N/A,[],[]
35,Economics,1085,University of Chicago,Chris,,Blattman,2704237,0,zero,TEACHER,PROFESSOR,N/A,[],[]
36,Philosophy,1085,University of Chicago,Corinne,,Bloch,1760843,2,good,TEACHER,PROFESSOR,5.0,"['Funny and energetic. She would use PPT but most of the time we just critically discussed the material. I come from science background and this is the first philosophy class I took, and now I wish I had taken more courses earlier on.', 'Corinne is enthusiastic and well-organized. She was able to generate very lively discussion, and is generally a very pleasant person. The reading load requires planning ahead. I liked the fact that she initiated a mid-term evaluation to see in what ways she could improve the course. None of my other professors have done that.']",[]
37,Music,1085,University of Chicago,Philip,,Bohlman,361122,5,good,TEACHER,PROFESSOR,4.2,"[""phil's a fantastic prof."", ""he's great."", ""Very nice guy, very helpful, enthusiastic and knowledgeable. Class is a little tedious, especially if you're just taking it to fulfill a requirement. Not as easy as I'd like for a core class. Write like he does in his chapters in the book and he'll love your papers."", ""Nice guy. Somewhat tedious and time-consuming, especially the final paper.  Doesnt understand we're not music concentrators, and this is just meant to meet core requirements.  Otherwise, it's ok.  Boring. Weird grading too."", 'Nice guy, moderate workload.  Very enthusiatic, but lectures the entire time, and little discussion, but cool guy.  Learn a lot of interesting stuff.  Moderate workload.']",[]
38,Mathematics,1085,University of Chicago,John,,Boller,187523,14,good,TEACHER,PROFESSOR,5.0,"['No comment', 'A very committed instructor to teaching with a deep love for maths. Highly competent with a desire to inculcate in learners life skills in problem solving and critical thinking', ""The Bollerman is the best teacher I have ever had. It's a hard class, but he made it so much fun and interesting, and was incredibly personal with his students and really helpful."", 'No Comments', ""Boller made a hard subject easy...we'll miss him."", 'No Comments', 'hes awesome', 'No Comments', 'No Comments', 'Hes so hot', 'Boller is the man.', 'Awesome. I mean, the guy is a part time Shakespearean actor. So cool.', 'No Comments', 'No Comments']",[]
39,Economics,1085,University of Chicago,Peter,,Bondarenko,1266533,5,good,TEACHER,PROFESSOR,4.7,"['Great teacher.  Really knows the subject well.  Tests and quizzes are very straight forward and similar to the study guides.  Highly recommended.', 'Fantastic professor', ""Best prof I've ever had"", 'Amazing prof!', 'No Comments']",[]
40,History,1085,University of Chicago,Dain,,Borges,965790,1,good,TEACHER,PROFESSOR,4.0,"['The beef I had was with the core concept of the class, not Prof. Borges. Perspectives is nothing if not a quagmire: too much material and not enough time to slog through it all. Also, I\'d have selected ""tough grader"" above, but he didn\'t grade the exams. In all, the lectures were interesting, informative, and genuinely entertaining.']","['Get ready to read', 'Hilarious', 'Lecture heavy', 'Get ready to read', 'Hilarious', 'LECTURE HEAVY']"
41,Languages,1085,University of Chicago,Jesus,,Botello,1315968,1,good,TEACHER,PROFESSOR,5.0,"['Jesus is a great teacher. Knowledgeable, kind and fun. Take his class!']",[]
42,Social Work,1085,University of Chicago,Alida,,Bouris,1969960,3,good,TEACHER,PROFESSOR,5.0,"[""Professor Bouris is one of the best. She is genuine, honest, soft-spoken, and intensely caring about her students and the world. If you're lucky enough to be in her cohort, take advantage of her feedback and definitely go to office hours!"", ""She genuinely cares about her students.  At the beginning of the year she sets very professional boundaries, don't let that stop you from dropping by her office.  She is a tough grader and appreciated seeing her students grow in self awareness.  If you're in her her first year cohort consider yourself one of the lucky ones."", 'She is a very nice person. She explains well in class but sometimes boring. She tries to keep her class interesting. However, her tests are very tough. She is a hard grader. ']","['Tough grader', 'Gives good feedback', 'Inspirational', 'Caring', 'Accessible outside class', 'Gives good feedback', 'Inspirational', 'Caring', 'Tough Grader', 'ACCESSIBLE OUTSIDE CLASS']"
43,History,1085,University of Chicago,John,,Boyer,233400,4,good,TEACHER,PROFESSOR,4.2,"[""Talks a lot, but it's entertaining and funny. Never fell asleep in the 8:00am class."", 'this is the most boring man ever born.  sorry.  i\'m sure he\'s very smart.  but he\'s got the enthusiasm of the teacher on the ""Peanuts"" cartoons.  Blah whah, blah whah... when can we get out of here?', 'Made a potentially dull class very interesting and a lot of fun--would definitely recommend him to others.', 'Awesome!  Just a great person, and great prof!']",[]
44,Psychology,1085,University of Chicago,David,,Bradley,366541,11,average,TEACHER,PROFESSOR,3.1,"[""I've never met a professor more egotistical and full of himself, which one can overlook if the professor were actually brilliant. Bradley, not so much. Lectures were disorganized, and he may or may not show up to class. The class was a waste of time. I would not recommend this class if you can avoid it."", 'I took this class 2 years ago. He was very disorganized and could not stick to the material. The text book helped me pass the class not the professor. He skipped many classes. Other students taught instead of him.', 'Definitely a hot professor.  Is it true he was a captain on the wrestling team, and a linebacker on the football team?', 'useless classes. hardly ever shows up and when he does he is unprepared. sloppy and unprofessional.', 'Very good teacher, interesting lectures.', 'David Bradly was one of the best professors I had at U of C.  He was very helpful and the most attractive professor ever!', 'David Bradley teaches Sensation and Perception...one of the egregiously few classes (and professors) I actually very much enjoyed.', 'Avoid', 'No Comments', 'No Comments', 'ONE OF THE HOTTEST PROFS AT THE UOFC!!!  I WOULD EVEN JUST GO TO CLASS TO STARE AT HIM!  YUMMY.  REALLY COOL GUY TOO AND GOOD CLASS!']",[]
