,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,History,1085,University of Chicago,John,,Abbott,1899925,1,good,TEACHER,PROFESSOR,4.5,"['Very knowledgeable and is willing to go over your paper when you have a question on grade. Read the few selected readings, attend class an voila A.']",[]
1,Sociology,1085,University of Chicago,Andrew,,Abbott,1153787,8,average,TEACHER,PROFESSOR,2.8,"['Abbott is by far the worst professor I have had at UChicago. For some reason he decided to play mind games with me throughout the quarter. His feedback on our weekly essays was not helpful. He even targeted me personally, saying that I lacked intellectual curiosity or was deeply depressed in his written feedback.', 'He is the best of the best in his field. I had a great experience taking his class.', 'AA is the kind of UChi Prof one either loves or hates. Contrary to many reviews here, he actually cares a lot about students, tries to get everyone involved, and assign reasonable amount of reading. His style of teaching Power actually allows people to have  the big picture of what is going on , which many young profs here are unable to deliver.', 'I learned an incredible amount in his class. Extremely intelligent and on top of the field. He could communicate course expectations a little better though.', 'all in all, tries to be nice, but is not really.  i think that working as an orderly impacted him.  a great deal of sensitivity in someone so sentimental.  danger!  grades very hard.  only favors 1 or 2 kissups in the class.  gossips favorably for a person in his social existence.', ""This professor can hold your attention. He is a fair grader however the stress associated with not knowing how youre doing in class sucks. He's nice and knows a lot about the field. Id never take a class with him again though"", 'Great at leading and encouraging debate. A little arrogant and out of touch though. Be prepared to do more work than what should be expected for this type of class. We had four papers a midterm and a final', 'Could have been a great class but a lot of people were underprepared.  A lot of the books were mediocre and the work of extremely minor sociologists.  Some good stories though.  I enjoyed a good share of sociology department gossip.  Yes, sociologists actually gossip too.  We talked about cher and her hair styles all the time. :)  Really..']","['Respected', 'Get ready to read', 'Participation matters', 'Gives good feedback', 'Inspirational', 'Respected', 'Get ready to read', 'Participation matters', 'Gives good feedback', 'Respected', 'Inspirational']"
2,Physics,1085,University of Chicago,Isaac,,Abella,165523,21,good,TEACHER,PROFESSOR,4.2,"['Average', 'The most energy I have ever seen a professor put into teaching in my 4 years at the university. Very accessible.', ""He's an extremely helpful and approachable professor.  The material isn't always easy but you won;t have too hard of a time if you visit him during office hours.  I would say he's not as difficult as people say he is.  You just need to ask for a lot of help which some people aren't comfortable doing."", ""too old to be teaching. teaches regular physics at an honors level. This is not helpful for people that aren't really really good at physics"", 'Prof. Abella teaches a very rewarding E&M course. He presents advanced mathematical framework in E&M whenever possible. He also holds his students to very high standards on homework, attendance, and participation (a very good thing).', 'Isaac Abella is nothing short of an extraordinary teacher.  His lectures are clear, explaining the material in an organized manner that leads from one topic to another with a fair amount of fluidity.  I took his Honors E&M class(142) and while the problems were very difficult, they were certainly fair and we were well-prepared.', 'Dr. Abella was THE BEST professor I had in college. Not only did he love the material he taught, he was a socially conscious man who cared deeply about helping undergrads understand their place in both academics and society at large. I miss my talks with Dr. Abella and I hope he is still doing the same for other young students.', 'I had him for my Freshman Physics class back in 1984 and he is the one who got me interested in becoming a physics major.  I loved his enthusiasm and teaching style.  I ended up getting my PhD in Physics because I had such a good experience.', 'I went to his office hours and found him very helpful, even though I was over my head in his course.  His course was difficult, but he did his best to make everything clear.  He strikes me as a man with a conscience, someone who cares about students and about making a positive impact on the world through his teaching.  Fine, but still, I got a C!', 'Fairly easy, but just not a very interesting or helpful teacher. Not worth going to class.', 'No Comments', 'Abella is the sweetest man in the world!', 'Excellent professor.', 'quirky and challenging; best out of three physics professors ive had at u of c', 'Excellent professor.', ""His board notes may be all over the place, but he's brilliant."", 'No Comments', 'No Comments', ""abella's great-- he's a lot of fun to watch, and he's always friendly and helpful-- although i've heard that people don't like him, i really can't see why..."", 'No Comments']",[]
3,Mathematics,1085,University of Chicago,Pramod,,Achar,127199,7,good,TEACHER,PROFESSOR,4.1,"['Not great.', 'No Comments', 'No Comments', 'No Comments', 'Very hard', 'No Comments', 'Definitely a wonderful professor that is very knowledgeable in his field.']",[]
4,Economics,1085,University of Chicago,Anjali,,Adukia,2644522,1,good,TEACHER,PROFESSOR,5.0,"['Prof. Adukia made me want to study economics of education. She made the material very accessible, despite the subject material being tough.', 'Prof. Adukia made me want to study economics of education. She made the material very accessible, despite the subject material being tough.']","['Participation matters', 'Inspirational', 'Respected', 'Respected', 'Participation matters', 'Inspirational']"
5,Anthropology,1085,University of Chicago,Hussein,,Agrama,1126375,6,good,TEACHER,PROFESSOR,4.9,"['Hussein is the best self, culture, and society teacher out there. his class is super unstressful grade-wise, but he challenges to really learn the material by calling out bs in class and making you read and write to the best of your ability. If you wanna not worry bout grades too much but wanna really learn something, then take his class.', ""Hussein is literally a god. His class is tailored not be stressful, but he really engages the class well. Many other Core professors are just fine with you saying dumb stuff you barely remember after skimming the 10-50 pages out of your 200 page reading assignment, but Hussein isn't afraid to ask the hard questions."", 'Engaging lecturer, he will transform your way of thinking in a brilliantly artful manner..', ""amazing, wonderful, kind, brilliant and truly committed professor. he makes the texts and argument come to life. i feel as though i've learned more from him than from any other professor at chicago."", 'phenomenal', 'Dr. Agrama is amazing!']","['Get ready to read', 'Participation matters', 'Amazing lectures']"
6,Social Science,1085,University of Chicago,Chloe,,Ahmann,2505522,2,good,TEACHER,PROFESSOR,5.0,"[""She's super knowledgeable and explains really difficult topics in a concise and understandable way. Her office hours for essays and assignments were maybe the most helpful office hours I have ever been to. Take any class she teaches"", ""She's super knowledgeable and explains really difficult topics in a concise and understandable way. Her office hours for essays and assignments were maybe the most helpful office hours I have ever been to. Take any class she teaches"", 'Highly recommend taking any course she teaches.']","['Get ready to read', 'Gives good feedback', 'Respected', 'Gives good feedback', 'Respected', 'Get ready to read']"
7,English,1085,University of Chicago,Neka,,Alexander,1276415,1,poor,TEACHER,PROFESSOR,1.0,"[""i'm in her 9:00 am class and she puts me to sleep she expects to give her respect but how can you when shes on her phone the whole time my friends from 10:00 am class love her but i can she why is lazy and assigns pointless work she wastes class time by making you write stupid jounrals because truth is that she dont know what to teach""]",[]
8,History,1085,University of Chicago,Guy,,Alitto,405521,10,good,TEACHER,PROFESSOR,4.0,"['Professor Alitto is respected, and his experiences of visiting China and talking with Shuming Liang made him knowledgeable and confident of what he is teaching. Organized and humorous.', 'Fantastic professor.', 'He IS the wicked funny professor from the Cartoon History of the Universe series.', 'Really cool suits! resembles the pringles man, but a great teacher!', 'No Comments', 'Funny and entertaining, a great prof', 'No Comments', 'Great person!', ""I think Guy makes historiography engaging.  And he's quite approachable at office hours, which can be unusual at the U of C.  Clever, interesting fellow."", 'Nice guy for the most part. But his knowledge is totally outdated, and he is very disorganized. Funny and quite charming.']","['Get ready to read', 'Participation matters', 'Respected', 'Respected', 'Get ready to read', 'Participation matters']"
9,Social Work,1085,University of Chicago,Scott,,Allard,1548065,5,average,TEACHER,PROFESSOR,3.2,"[""I am accustomed to profs who do not understand how important it is for students to learn how to think about social issues, rather than regurgitating a prof's personal opinions to advance their own research.Its time for profs to look beyond themselves and consider that maybe their research is not more important than their responsibility to students."", ""These comments are way too hard on Scott Allard. Scott is really knowledgeable and friendly, and does not seem close minded. He is a very hard grader, but he also takes a lot of time to meet with students outside of class. He isn't a social worker, but about a third of SSA faculty aren't either."", ""Dr. Allard is extremely knowledgeable, easy to communicate with, and open to further assistance outside of class. He is a tough grader but if you work hard you will do well. I would definitely take a class with him again. Don't miss him, one of the best professors at SSA. "", 'Professor Allard is uncomfortable with concepts outside his own experience and research, and therefore intolerant and disinterested in new or challenging approaches to social policy. Researchers who often also teach, must resist the urge to indoctrinate students or at least be more tolerant, even though it may be contrary to their own work.', 'He was way picky on the paper - silly reasons why he would give students not so great grades - and I got one of the better grades!  I never really understood why he is teaching here - he has a PhD in political science - clearly nothing related to social service/social work.  On the positive side - I did learn something - the book Street Burecrat']",[]
10,Mathematics,1085,University of Chicago,Yali,,Amit,2168135,2,poor,TEACHER,PROFESSOR,1.5,"[""Professor Amit tried at times to present the material well but often failed as probability theory was not his area of expertise. He also had a rude and sarcastic manner to him and once refused to answer someone's question on generating functions in class. His exams were hard and he relied on the TA to help the students."", ""Professor Amit was not a bad lecturer though probability theory was not his strongest suit. He was very rude to the students and once refused to answer a girl's question on generating functions because he thought it was stupid. His grading was tough and he was not very accessible after class.""]","['Tough grader', 'Lecture heavy', 'Test heavy', 'Graded by few things', 'Test heavy', 'Lecture heavy', 'Tough grader', 'Graded by few things', 'Lecture heavy', 'Tough grader']"
11,Classics,1085,University of Chicago,Clifford,,Ando,907446,4,good,TEACHER,PROFESSOR,3.6,"[""Professor Ando is great. He's very open to new ideas and once the student makes the effort to reach out, he is usually available for a chat. I was a complete rookie to ancient Roman empire history, so I had lots of questions when I was taking his grad-level class. But he was very helpful and sent me articles when he thought I might like them."", 'Lectures long and boring,  uses the terms  ""As it were"", ""so to speak"", ""something like"", ""might as well"", ""perhaps""\', ""in my experience"", ""in modern terms"", ""in a way"", ""to the extent that"", ""as you can see"" ,  talks in circles. I spent way too much time on the Fall of the Roman Empire. .Smart guy  about the ancien Rome, so? Not recommended. ', ""I don't know if this was a course in classics or political indoctrination. Ando was trying to brainwash the students on his liberal political leanings constantly. I was afraid to disagree with him fearful of getting a bad grade. This class was bull and should have gone to the dean to file a complaint refunded. . Surprised this happens UChicago"", 'Overall excellent!!']","['Group projects', 'Lecture heavy']"
12,Languages,1085,University of Chicago,Helga,,Anetshofer,2603824,0,zero,TEACHER,PROFESSOR,N/A,[],[]
13,Mathematics,1085,University of Chicago,Mihai,,Anitescu,1798152,2,poor,TEACHER,PROFESSOR,1.8,"['Spectacular view that the whole class were sleeping when he was babbling nonsense.', 'Decent, not spectacular.']",['Tough grader']
14,Science,1085,University of Chicago,David,,Archer,64867,13,good,TEACHER,PROFESSOR,4.2,"['Professor Archer has great lectures and a clear grading scale.', 'He is a very good and entertaining professor', 'Great prof!', 'Teaches material at level non-science students can understand. Looks just like Hugh Laurie from House M.D.', 'Very aloof. Not helpful to students. Travels too much.', ""He needs to be more approachable. It's like he lives in his own mind. Doesn't communicate."", 'He has the kindest eyes..', 'such a cute geek', 'Excellent professor. Clearly loves what he does.', 'No Comments', 'Brilliant mind! Great teacher.', 'He makes the most difficult subject so easy. What a nice person.', 'No Comments']","['EXTRA CREDIT', 'Amazing lectures', 'Hilarious', 'Caring', 'Hilarious', 'EXTRA CREDIT', 'Amazing lectures', 'Caring', 'EXTRA CREDIT']"
15,Mathematics,1085,University of Chicago,Dima,,Arinkin,615006,2,good,TEACHER,PROFESSOR,4.0,"[""His accent is hilarious and he's quite energetic. The material was hard for me to comprehend in class, but it was also my first college math course."", 'No Comments']",['Hilarious']
16,Religion,1085,University of Chicago,Dan,,Arnold,571877,2,average,TEACHER,PROFESSOR,3.0,"['What a guy, he is the quintessential guy, cant think of a better guy. I mean what more can I say about this guy. Take this guys class you guys.', 'What a guy, he is the quintessential guy, cant think of a better guy. I mean what more can I say about this guy. Take this guys class you guys.', 'his paper is horrible.  do you have any logic and grammar?!!!!']","['Tough grader', 'Gives good feedback', 'Respected', 'Lecture heavy', 'Gives good feedback', 'Respected', 'Tough grader']"
17,Mathematics,1085,University of Chicago,Jayadev,,Athreya,220276,12,poor,TEACHER,PROFESSOR,2.4,"[""Really cares about his students. Flexible office hours, and very helpful. Also, he's brilliant."", ""completely unprofessional. insulted and laughed at me with his friends at a party because i wasn't doing well in class, ignored my efforts, and was extremely unhelpful. a total jerk."", 'Strict for no purpose', 'Nice guy, not too hard.  Go to the problem sessions and ask for help during office hrs (although he occasionally skips).  Not a terrible time commitment tho.  Lectures are ok.  A bit too smart for his own good.', ""he really knows what he's talking about but his tests were nearly impossible.  Lots of proofs, especially delta/epsilon.  However, he really cares about his students."", 'Ew.', 'uncaring and rude in general, not someone you want to deal with', 'No Comments', 'very smart', 'No Comments', 'No Comments', ""Easy class,reasonable amounts of homework, but hardly there during office hours.  Nice guy though.  Not too much of a time commitment.  Exams aren't curved so make sure you do well.""]",[]
18,History,1085,University of Chicago,Leora,,Auslander,1439738,0,zero,TEACHER,PROFESSOR,N/A,[],[]
